Province/State,Country/Region,Lat,Long,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20
Abruzzo,Italy,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Basilicata,Italy,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.A. Bolzano,Italy,46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Calabria,Italy,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campania,Italy,40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Emilia Romagna,Italy,44.49436681,11.3417208,0,0,1,1,2,4,8,11,18,22,30,37,48,56,70,85,113,146,201
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,8,10
Lazio,Italy,41.89277044,12.48366722,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,6,6,9,11
Liguria,Italy,44.41149315,8.9326992,0,0,0,0,0,0,0,0,1,1,3,3,4,6,7,8,8,11,17
Lombardia,Italy,45.46679409,9.190347404,6,9,9,14,17,23,24,38,55,73,98,135,154,267,333,468,617,744,890
Marche,Italy,43.61675973,13.5188753,0,0,0,0,0,0,0,1,2,4,4,4,6,7,10,13,18,22,27
Molise,Italy,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piemonte,Italy,45.0732745,7.680687483,0,0,0,0,0,0,0,0,0,0,2,4,5,5,13,17,21,26,46
Puglia,Italy,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,5,5,5
Sardegna,Italy,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sicilia,Italy,38.11569725,13.3623567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Toscana,Italy,43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5
P.A. Trento,Italy,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Umbria,Italy,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Valle d'Aosta,Italy,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Veneto,Italy,45.43490485,12.33845213,1,1,2,2,2,2,2,2,3,6,10,12,13,18,20,26,29,32,42
