date,Abruzzo,Basilicata,P.A. Bolzano,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto
2020-02-24,0,0,0,0,0,10,0,1,0,76,0,0,2,0,0,0,0,0,0,0,12
2020-02-25,0,0,1,0,0,15,0,1,1,79,0,0,2,0,0,1,2,0,0,0,12
2020-02-26,0,0,1,0,0,20,0,0,6,79,1,0,2,0,0,1,2,0,0,0,16
2020-02-27,1,0,1,0,2,36,0,0,9,172,2,0,2,1,0,1,2,0,0,0,19
2020-02-28,1,0,1,0,2,56,0,0,9,235,3,0,7,1,0,1,5,0,0,0,24
2020-02-29,2,0,1,0,3,86,0,3,4,256,6,0,7,1,0,1,7,0,0,0,24
2020-03-01,3,0,1,0,4,127,0,3,12,406,12,0,11,1,0,1,7,0,0,0,51
2020-03-02,3,0,1,0,4,148,0,3,12,478,17,0,12,2,0,2,7,0,0,0,53
2020-03-03,5,0,1,0,11,187,1,10,12,698,27,3,13,2,1,2,10,1,1,0,49
2020-03-04,7,0,1,0,11,256,3,15,10,877,34,3,26,4,1,5,15,1,1,0,76
2020-03-05,8,0,1,1,12,327,4,20,11,1169,57,4,43,5,2,5,26,2,1,0,92
2020-03-06,9,1,4,2,12,397,4,26,12,1622,73,3,57,5,2,7,35,4,2,0,117
2020-03-07,11,1,8,2,16,464,7,43,26,1661,94,3,110,9,2,8,54,6,2,1,123
2020-03-08,14,2,8,5,30,542,7,47,39,2217,110,4,245,17,5,18,91,7,2,1,146
2020-03-09,25,2,8,8,42,576,18,55,60,2802,136,4,222,20,8,19,107,10,4,4,186
2020-03-10,17,2,17,8,33,669,27,50,57,3319,152,3,306,28,9,17,91,19,8,2,204
2020-03-11,17,1,8,10,56,745,16,67,74,3852,212,4,319,38,10,23,87,28,7,2,262
2020-03-12,47,1,21,14,56,814,23,85,100,4247,254,4,368,58,12,28,100,43,8,7,360
2020-03-13,42,1,20,18,60,942,59,122,128,4435,337,5,556,77,12,37,134,58,11,6,366
2020-03-14,51,0,26,22,72,1076,67,181,213,4898,449,5,538,91,14,42,160,68,21,12,366
2020-03-15,72,0,50,32,73,1215,98,223,253,5500,521,3,726,116,16,56,175,73,25,10,426
2020-03-16,71,1,53,36,103,1362,96,267,255,6171,528,3,1045,116,39,75,175,73,30,28,498
2020-03-17,94,5,71,45,127,1566,104,314,299,6953,599,7,1378,155,36,86,329,107,36,35,548
2020-03-18,99,9,79,45,127,1784,128,374,401,7285,638,7,1780,156,42,100,427,141,54,41,646
